item_id,family,templates,status,evidence,mapped_admin,mapped_persisted,mapped_runtime,mapped_components
fpb-standard-summary-mode,FPB,STANDARD,confirmed_current,app/assets/widgets/full-page/methods/runtime-cart-settings-methods.js,yes,yes,yes,full-page template renderer; side panel; mobile summary
ppb-template-selection,PPB,"GRID, LIST, HORIZONTAL_SLOTS, VERTICAL_SLOTS",confirmed_current,app/assets/widgets/product-page/templates/registry.js,yes,yes,yes,product-page layout; modal/inline renderers
fpb-show-step-timeline,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/assets/widgets/full-page/methods/responsive-layout-methods.js,yes,yes,yes,step timeline; step navigation
fpb-show-product-prices,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/assets/widgets/full-page/methods/runtime-cart-settings-methods.js,yes,yes,yes,product card; cart footer
fpb-show-compare-at-prices,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/lib/bundle-formatter.server.ts,yes,yes,yes,product card; discount badge
fpb-cart-redirect-to-checkout,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/routes/app/app.bundles.full-page-bundle.configure.$bundleId/handlers/save-bundle-form.server.ts,yes,yes,yes,add-to-cart workflow
fpb-allow-quantity-changes,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/routes/app/app.bundles.full-page-bundle.configure.$bundleId/handlers/save-bundle-form.server.ts,yes,yes,yes,quantity stepper
fpb-search-bar-enabled,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/routes/app/app.bundles.full-page-bundle.configure.$bundleId/handlers/save-bundle-form.server.ts,yes,yes,yes,product list
fpb-show-text-on-add-button,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/assets/widgets/full-page/methods/runtime-cart-settings-methods.js,yes,yes,yes,product card add button
fpb-variant-selector-enabled,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/routes/app/app.bundles.full-page-bundle.configure.$bundleId/handlers/save-bundle-form.server.ts,yes,yes,yes,product card variants
fpb-floating-badge-enabled,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/routes/app/app.bundles.full-page-bundle.configure.$bundleId/handlers/save-bundle-form.server.ts,yes,yes,yes,floating badge
fpb-floating-badge-text,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/routes/app/app.bundles.full-page-bundle.configure.$bundleId/handlers/save-bundle-form.server.ts,yes,yes,yes,floating badge
fpb-product-slots-enabled,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/assets/widgets/full-page/methods/mobile-summary-methods.js,yes,yes,yes,mobile summary; side panel
fpb-max-qty-per-product,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/assets/widgets/shared/condition-validator.js,yes,yes,yes,quantity controls
fpb-product-slot-icon-url,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/assets/widgets/full-page/methods/mobile-summary-methods.js,yes,yes,yes,mobile summary slots
fpb-auto-select-browsed-product,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/routes/app/app.bundles.full-page-bundle.configure.$bundleId/handlers/save-bundle-form.server.ts,yes,yes,yes,initial selected products
fpb-bundle-banner-desktop-url,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/assets/widgets/full-page/methods/timeline-banner-methods.js,yes,yes,yes,timeline banner
fpb-bundle-banner-mobile-url,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/assets/widgets/full-page/methods/timeline-banner-methods.js,yes,yes,yes,timeline banner
fpb-loading-gif,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/routes/app/app.bundles.full-page-bundle.configure.$bundleId/handlers/save-bundle-form.server.ts,yes,yes,yes,adding state
fpb-bundle-level-css,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/assets/widgets/product-page/methods/selection-data-methods.js,yes,yes,yes,all storefront components
fpb-default-products-data,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/assets/widgets/full-page/methods/product-processing-methods.js,yes,yes,yes,initial state
fpb-validate-quantity-per-product,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/assets/widgets/shared/condition-validator.js,yes,yes,yes,quantity controls
fpb-individual-selling-plan-selection,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/assets/widgets/full-page/methods/product-processing-methods.js,yes,yes,yes,product card variant options
fpb-bundle-text-config,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/routes/app/app.bundles.full-page-bundle.configure.$bundleId/handlers/save-bundle-form.server.ts,yes,yes,yes,copy output
fpb-bundle-upsell-config,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/lib/bundle-formatter.server.ts,yes,yes,yes,upsell widgets
fpb-upsell-widget-enabled,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/routes/app/app.bundles.full-page-bundle.configure.$bundleId/handlers/save-bundle-form.server.ts,yes,yes,yes,upsell blocks
fpb-upsell-widget-display-mode,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/routes/app/app.bundles.full-page-bundle.configure.$bundleId/handlers/save-bundle-form.server.ts,yes,yes,yes,upsell blocks
fpb-upsell-widget-display-on,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/routes/app/app.bundles.full-page-bundle.configure.$bundleId/handlers/save-bundle-form.server.ts,yes,yes,yes,upsell blocks
fpb-text-overrides,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/assets/widgets/full-page/methods/analytics-config-methods.js,yes,yes,yes,all text surfaces
fpb-text-overrides-by-locale,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/assets/widgets/full-page/methods/widget-misc-methods.js,yes,yes,yes,localized text surfaces
fpb-personalization-data,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/routes/app/app.bundles.full-page-bundle.configure.$bundleId/handlers/save-bundle-form.server.ts,yes,yes,yes,personalization screens
ppb-show-product-prices,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/routes/app/app.bundles.product-page-bundle.configure.$bundleId/handlers/save-bundle.server.ts,yes,yes,yes,product card; footer totals
ppb-show-compare-at-prices,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/lib/bundle-config/product-page-display.ts,yes,yes,yes,product card; footer totals
ppb-cart-redirect-to-checkout,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/routes/app/app.bundles.product-page-bundle.configure.$bundleId/handlers/save-bundle.server.ts,yes,yes,yes,add-to-cart action
