item_id,family,templates,status,evidence,mapped_admin,mapped_runtime,mapped_storefront,mapped_states
addToCartButton,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",confirmed_current,app/assets/widgets/full-page/methods/runtime-cart-settings-methods.js,yes,yes,yes,fpb-selection-flow
summaryTitle,PPB,"GRID, LIST, HORIZONTAL_SLOTS, VERTICAL_SLOTS",confirmed_current,app/assets/widgets/full-page/methods/mobile-summary-methods.js,yes,yes,yes,ppb-selection-drawer-state
fpb-nextButton,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/assets/widgets/full-page/methods/responsive-layout-methods.js,yes,yes,yes,fpb-selection-flow
fpb-noProductsAvailable,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/assets/widgets/full-page/methods/product-grid-methods.js,yes,yes,yes,fpb-selection-flow
fpb-chooseOptionsButton,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/lib/settings-language-runtime.ts,yes,yes,yes,fpb-selection-flow
fpb-addingToCart,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/assets/widgets/product-page/methods/cart-methods.js,yes,yes,yes,fpb-selection-flow
fpb-includedBadge,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/lib/bundle-formatter.server.ts,yes,yes,yes,fpb-selection-flow
fpb-reviewButton,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/lib/settings-language-runtime.ts,yes,yes,yes,fpb-sidebar-progress
fpb-productAddButton,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/lib/settings-language-runtime.ts,yes,yes,yes,fpb-selection-flow
fpb-loadMoreProductsButton,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/lib/settings-language-runtime.ts,yes,yes,yes,fpb-skeleton-loading
fpb-productVariantLabel,FPB,"STANDARD, CLASSIC, COMPACT, HORIZONTAL",DISCOVERED_CURRENT,app/assets/widgets/full-page/methods/product-card-footer-methods.js,yes,yes,yes,fpb-selection-flow
ppb-nextButton,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/routes/app/app.bundles.product-page-bundle.configure.$bundleId/handlers/runtime-config.server.ts,yes,yes,yes,ppb-template-selection
ppb-doneButton,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/lib/settings-language-runtime.ts,yes,yes,yes,ppb-selection-drawer-state
ppb-addingToCart,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/assets/widgets/product-page/methods/cart-methods.js,yes,yes,yes,ppb-footer-messaging
ppb-productCardAddButton,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/lib/settings-language-runtime.ts,yes,yes,yes,ppb-selection-drawer-state
ppb-productCardInlineAddButton,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/lib/settings-language-runtime.ts,yes,yes,yes,ppb-selection-drawer-state
ppb-viewBundleItems,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/assets/widgets/product-page/templates/cascade-template.js,yes,yes,yes,ppb-selection-drawer-state
ppb-bundleCartSelectedProductsText,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/assets/widgets/product-page/methods/footer-modal-state-methods.js,yes,yes,yes,ppb-selection-drawer-state
ppb-productVariantLabel,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/lib/settings-language-runtime.ts,yes,yes,yes,ppb-slot-orientation
ppb-includedBadge,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/lib/bundle-formatter.server.ts,yes,yes,yes,ppb-selection-drawer-state
